00120675-v	bihurtu, bilakatu
00120804-n	lob
00120943-n	pase
00121166-n	bidalketa, bidaltze
00121214-v	aldizkatu, txandakatu
00121366-n	igorpen
00121506-v	bueltatu, itzuli
00121645-n	berbidalketa
00121678-v	elkar_trukatu
00122530-n	biratze, bultzatze
00122661-n	tiro, tiraketa
00123170-v	aldatu, eraldatu, trukatu
00123234-n	deskarga, tiroketa
00123783-n	kanoikada
00124342-n	plater-tiroketa
00124536-n	kanoikada
00124617-n	tiroketa
00124880-n	kontaktu, ukipen
00125126-n	igurtzi
00125436-n	ukitu, kolpetxo, laztan
00125629-n	joaldi
00125841-v	bihurtu, bilakatu
00126236-n	elkar_jotze
00126264-v	aldarazi, aldatu, asaldatu
00126886-n	jasotzaile, hartzaile
00127151-n	jaurtitzaile, jaurtilari
00128091-n	hutsegite, falta
00129435-n	gurpiltxo
00130846-n	sakrifizio
00131608-n	marralari
00132601-n	lehenengo_baserainoko_kolpe
00132756-n	bigarren_baserainoko_kolpe
00132982-n	hirugarren_baserainoko_kolpe
00133338-n	danbateko
00133567-n	jipoi
00133668-n	zaplasteko, zartako
00134391-n	zaplasteko
00134472-n	ipurdiko, zartako
00134574-n	zartada
00134780-n	muturreko, ukabilkada
00135504-n	ukabilkada
00135857-v	bultzatu, eragin, eraman
00135952-n	ziztada
00136048-n	kokoteko
00136329-n	ostikada, ostiko
00136984-n	ostiko
00136991-v	laga, utzi
00137279-n	sake
00137313-v	hunkitu, zausk_egin, zirrara_egin, zirrara_sortarazi
00137709-n	korner
00138078-n	laztan, ukitu
00138221-n	musu, pa
00138956-n	heltze, harrapatze, euste
00139758-n	intertzeptazio
00139919-n	hartze
00140112-n	errebote
00140123-v	eraldatu, fisikoki_aldatu, itxuraldatu
00140652-n	ukitu, ukitze, ukimen
00140967-v	desitxuratu, itxuragabetu
00141396-n	autopsia
00141524-v	bikortatu
00141806-n	ikuskatze, miaketa
00142191-v	forma_eman, itxuratu, moldatu, taxutu
00142361-n	osasun-azterketa, azterketa, mediku-azterketa, txekeo
00142665-n	erkaketa, alderaketa, konparaketa, konparazio
00143251-n	berrikusketa, berrikuste
00143626-n	gainbegiratu
00143885-n	haztapen
00143914-v	karabilkatu, kiribildu
00144445-n	kilimak_egite, kilikatze
00144632-n	fereka, laztan
00145024-n	harrapatze
00145147-v	biribildu
00145218-n	konexio
00145902-v	muturra_zimurtu
00146111-n	elkargune
00146138-v	-ra_aldatu, aldatu, bihurtu, bilakatu
00146277-n	hurbilketa
00146443-n	uztardura, kateaketa
00146572-n	bateratasun, hurbilketa, konbergentzia
00146856-n	elkartze, bateratze, bategite
00147091-n	bilgune
00147187-n	topaketa, topo_egite
00147314-n	artikulazio
00147862-n	askatze, lasaitze
00148057-n	gogortze, zurruntze
00148653-n	soldadura, soldaketa
00148836-n	funtsezko_oinarri
00149118-v	desintoxikatu
00149262-n	askatze, lasaitze
00149296-v	baretu, lasaitu
00149469-v	baretu, lasaitu
00149583-v	bihurtu, bilakatu, egin, iz.-egin, izond.-tu
00150591-n	milikatze, milika
00150776-v	bat_etorri, jarraitu
00151087-n	oharpen, sumatze
00151409-n	garrantzi_handiko_aurkikuntza
00151497-n	zehaztapen
00151689-v	gutxiagotu, jaitsi, txikiagotu, urritu, gutxitu
00151914-n	berraurkikunde
00152018-n	izendapen, identifikazio, identifikatze
00152727-n	diagnostiko, diagnosi
00153263-v	gehiagotu, gehitu, handiagotu, handitu, hazi, igo, gora_egin
00153665-n	pronostiko
00153809-n	konponbide, irtenbide, aterabide
00153961-n	egibide, egiaztapen, balioztatze
00154233-n	ziurtapen
00154433-n	dokumentazio
00154778-v	hedatu, zabaldu
00155298-n	ezeztapen, gezurtatze
00155406-v	goratu, hazi, jaso
00155487-n	lekutze, kokapen
00155547-v	igo, gora_egin
00156390-n	haste, eragite, pizte
00156601-v	irabazi, handiagotu, handitu, hazi, igo
00156625-n	bultzatze, sustatze
00156812-n	behartze, derrigortze
00157081-n	eragin
00157463-n	esposizio
00157844-v	handiagotu
00158185-n	manipulatze, manipulazio, erabilera
00158804-v	metatu, pilatu
00158996-n	hipnotismo
00159177-n	behartze, eragite
00159620-n	tentaldi, tentazio
00159899-n	lausengu, zurikeria
00160297-n	galbideratze, perbertsio
00160415-n	lilurapen, lilura
00160532-n	konkistatze
00160688-n	txorta
00161225-v	aldatu, trukatu
00161243-n	hautatze, hautaketa, aukeraketa, hautu, aukeratze, hautespen
00161603-n	casting
00161888-n	laginketa
00162632-n	erabaki
00162688-v	ordezkatu, ordeztu
00163047-n	borondate
00163406-n	jarrera-aldaketa
00163779-n	izendatze, izendapen
00164152-n	izendatze, izendapen
00164444-v	freskatu
00165298-n	ordenaketa, ordenazio
00165618-v	finkatu, sendotu
00165942-n	pauso, urrats
00166355-n	mugimendu
00166552-n	endroke
00166702-n	harrapatze, bereganatze
00167446-n	xake
00167764-n	xake-mate
00168237-n	maniobra, taktika
00168505-n	aparkatze
00168658-n	lekualdaketa, mudantza
00168911-n	ihesaldi, ihes
00169458-v	aldatu
00169651-v	magnitudez_aldatu, tamaina_aldatu, tamainaz_aldatu
00170340-n	biratze, jiratze
00171249-n	amarru, trikimailu, sare
00171618-n	iruzur, engainu
00172073-n	keinu, imintzio
00172598-n	artifizio, trikimailu
00172710-n	bide, modu
00172732-v	gabetu, kendu
00173220-a	haurdun
00173283-n	ihesbide, ihes
00173338-v	atera, eraman, hartu, kendu
00173761-n	bitarteko, tresna
00174127-n	zorioneko_bitartekari, baliabide_egoki
00174260-n	lorbide
00174412-n	neurri_hartze, neurri
00177448-n	bitarteko
00177714-v	garbitu, ikuzi
00177861-v	azala_kendu, zuritu
00178102-v	hortzikatu, mocaduak_jan, mokaduak_hartu
00178235-v	baztertu, kendu
00178551-n	behin-behineko_neurri
00178700-n	euskarri, makulu
00178832-n	inprobisazio, bat-batekotasun
00179567-v	hezurgabetu, hezurra_kendu
00179718-v	aletu, bihitu, garautu
00179852-v	kontzetatik_atera, txangetatik_atera
00180054-n	zozketa
00180076-v	aletu, bihitu, garautu
00180413-n	onarpen, onespen
00180837-v	araztu, garbitu, xahutu
00180962-n	boz, hauteskunde, bozketa
00181258-v	aletu, bihitu, garautu
00181373-n	berrautaketa, berrautatze
00181476-a	automatiko
00181495-n	plebiszitu
00181640-n	erreferendum
00181664-v	garbitu, oztopoak_kendu, txukundu
00181781-n	hauteskunde, boz, bozketa
00182213-n	boz, boto
00182406-v	bat_egin, batu, elkartu
00182435-n	hauteskunde_orokor
00182571-n	hauteskunde_primario
00183505-n	boto, botazio, boz
00184117-v	nahasi, nahastu
00184981-n	kalitateko_boto, lehentasun-boto
00185104-n	bat_etortze
00185307-n	ekuazio, berdintza
00186549-n	emagintza
00186634-n	puntu, tanto
00187144-n	diana
00187268-v	barneratu, barruratu, sarrarazi, sartu
00187337-n	gol
00187710-n	strike
00188375-v	erein
00188766-n	touchdown
00189106-n	puntuak_irabazte
00189189-v	nahasi, nahastu
00189364-v	tartekatu
00189669-v	pasatu, sartu
00190180-v	josi, kateatu, lotu, uztartu
00190431-n	saskiratze
00191142-n	aldakuntza, aldaketa, aldatze
00192300-n	errazte, laburtze, sinplifikatze
00192471-v	harri_bihurtu
00192613-n	aurrezte, aurrezki
00192836-v	adorea_eman, adoretu, arnasa_eman, bihotz_eman
00193406-n	egokitzapen, moldaketa
00193486-v	bateratu, batu, elkartu, nahasi
00194005-n	absortzio, zurgapen
00194127-n	egokitze, birdoitze
00194257-n	etxekotze
00194534-v	bota, desegin, deuseztu, eraitsi, suntsitu
00194831-n	ohitze
00194912-v	garbitu, oskarbitu
00194969-n	aldakuntza, aldatze, aldaketa
00195569-n	dibertsifikazio, aldakuntza
00195813-v	basoa_soildu, oihana_galdu
00196364-v	erre
00196485-n	ordezkapen, ordezkatze
00196758-v	erre
00197423-v	hezurgabetu, hezurra_kendu
00197610-n	ordezkatze, ordezte
00197744-v	azala_kendu
00197772-n	ordezkapen, ordezkotza
00198451-n	sustapen
00198793-n	gradu-kentze, gradu-beherapen, beherakada
00199130-n	egoera-aldaketa
00199707-n	egokitzapen
00200244-n	gasifikazio
00201058-n	iragaite
00201269-n	fosilizatze
00201516-n	esku-sartze
00201671-n	lekualdatze, lekualdaketa
00202284-n	aurre_egite, kontra_egite
00202569-v	kontrolatu
00202620-n	itxialdi
00202816-n	erreakzio, erantzun
00203342-n	gaitzespen, gutxiespen, ezespen, atzera_botatze
00203649-n	gutxiespen, aintzat_ez_hartze, gaitzeste
00203753-n	ihes_egite, saiheste, ekidite
00203866-v	gainbehera_etorri, okerragotu, okerrera_egin, txarrera_egin, txartu
00204439-n	uko_egite, uko, uzte
00204659-n	agertze
00204814-n	apostasia
00204943-n	ihes
00205046-v	hobetu, ondu, onera_egin
00205079-n	uko_egite, uko
00205543-n	uzte
00205649-n	ukapen
00205885-v	hobetu, ondu, onera_egin
00205891-n	galtze, sakrifizio
00206130-n	boikot
00206302-n	erbesteratze
00206927-n	kanporaketa, kanporatze
00207434-n	ostrazismo
00207728-v	beheratu, merkatu
00207761-n	erbesteratze, atzerriratze
00208210-v	okerragotu, okerrera_egin, txarrera_egin, txartu
00208277-n	eskumiku
00208497-v	hondatu, narritu
00208521-n	beherapen
00208797-n	uzkailtze
00208836-v	hondatu, narritu
00208943-n	tronutik_kentze
00209132-n	kentze, gabetze
00209174-v	banatu, bereizi, zatitu
00209446-n	kanporatze, kaleratze
00209546-n	beto
00209837-v	usteldu
00209943-n	amai, bukaera, amaiera
00210259-v	galdu
00211110-n	bukaera, amai, amaiera
00212065-n	lizentziatura
00212205-n	jubilazio, erretiro
00212377-n	hibernazio
00212808-n	uko_egite, uzte
00213052-n	emate, uzte
00213186-n	eskualdatze
00213343-n	entregatze, emate
00213353-v	gatzunetan_jarri, gazitu
00213482-n	estradizio, estraditatze, kanporaketa
00213794-v	ontziratu, poteratu
00213903-n	salbueste
00214148-n	finkatze
00214624-v	ase, asebete, bete
00215314-n	hauste, desegite
00215683-n	desagertze
00215800-v	hezatu
00215838-n	subertsio
00216038-n	desegite
00216174-n	kanporaketa, kaleratze, kanporatze
00216216-v	blai_egin, blaitu, busti
00217014-n	hondamendi, hondamen, suntsiketa, triskantza
00217152-v	urak_hartu, urez_bete, urpetu
00217700-v	urak_hartu, urez_bete, urpetu
00217956-v	busti, hezatu, umeldu
00218045-n	suntsiketa, birrintze
00218208-n	suntsiketa
00218330-v	idortu, lehortu
00218475-v	lehortu
00218753-n	haustutze
00218902-n	baporizazio
00219012-n	heriotza, hilketa
00219403-v	lehortu
00219856-n	eutanasia
00219963-v	blokeoa_kendu, desblokeatu
00220023-n	gizahilketa, erailketa
00220115-v	ahokatu, sartu
00220409-n	nahi-gabeko_gizahilketa
00220701-v	ahuldu, arindu, indargabetu, leundu, moteldu
00221178-n	odol-isurtze
00221596-n	guraso-hilketa
